Белгибаева;С.А.;05.03.1997;belgibaeva@gmail.com;8 (736) 473-4316;Учитель;435
Жолшиева;Л.З.;06.03.1997;zholshieva@gmail.com;9 (736) 473-4316;Учитель;436
Мартынцов;Н.В.;07.03.1997;martyncov@gmail.com;10 (736) 473-4316;Учитель;437
Есқожа;С.С.;08.03.1997;eskozha@gmail.com;11 (736) 473-4316;Учитель;438
Асатова;Ә.Ш.;09.03.1997;asatova@gmail.com;12 (736) 473-4316;Учитель;439
Тілеулес;Д.Н.;10.03.1997;tileyules@gmail.com;13 (736) 473-4316;Учитель;440
Тургинбеков;А.Е.;11.03.1997;turginbekov@gmail.com;14 (736) 473-4316;Учитель;441
Тулабоев;К.С.;12.03.1997;tulaboev@gmail.com;15 (736) 473-4316;Учитель;442
Тұрсын;Б.Е.;13.03.1997;tursyn@gmail.com;16 (736) 473-4316;Учитель;443
Токенов;А.М.;14.03.1997;tikenov@gmail.com;17 (736) 473-4316;Учитель;444
Галипанова;А.С.;15.03.1997;galipanova@gmail.com;18 (736) 473-4316;Учитель;445
Жолдықараева;Е.Б.;16.03.1997;joldyqaraeva@gmail.com;19 (736) 473-4316;Учитель;446
Кажыбаева;А.С.;17.03.1997;kajybaeva@gmail.com;20 (736) 473-4316;Учитель;447
Сарбасова;К.К.;18.03.1997;sarbasova@gmail.com;21 (736) 473-4316;Учитель;448
Хабиев;Ж.К.;19.03.1997;habiev@gmail.com;22 (736) 473-4316;Учитель;449
Әлімжан;Ә.Қ.;20.03.1997;alimzhan@gmail.com;23 (736) 473-4316;Учитель;450
Темірке;С.Ф.;21.03.1997;temirke@gmail.com;24 (736) 473-4316;Учитель;451
Танжарбаева;М.А.;22.03.1997;tanzharbaeva@gmail.com;25 (736) 473-4316;Учитель;452
Аманова;Ф.Ж.;23.03.1997;amanova@gmail.com;26 (736) 473-4316;Учитель;453
Газизов;А.А.;24.03.1997;gazizov@gmail.com;27 (736) 473-4316;Учитель;454
Мырзаханова;С.К.;25.03.1997;myrzahanova@gmail.com;28 (736) 473-4316;Учитель;455
Биязбаев;Д.А.;26.03.1997;biazbaev@gmail.com;29 (736) 473-4316;Учитель;456
